UniqueIndex,u.r,DOI,Title,Authors,JnlYear,InfantGroup,ExperimentNo,PublicationStatus,NativeLanguage,TestLanguage,Lab,InfantType,minAge,meanAge,maxAge,PropFemales,Included,Excluded,Fussers,NonCriterion,Criterion,exclusionCriteria,MeanAgeMonths,MultipleAgeGroups,MultipleAgeGroupsYO,Words,WdMisAlignMajorStress,Linguistic,NumberSyllables,passages,EdgeAlign,EdgeAlignSimple,FamVoice,FamRegister,FamAffect,maxTrialDurFam,TestVoice,TestRegister,AgeGroupForIndex,Indexical,maxTrialDurTest,nbTrialsTest,Words2Passage,famCriterion,repeatedMeasures,Method,PredictedEffect,OtherNotes,LTFam,SD.LTFam,LTNov,SD.LTNov,correlationFamNov,exact.t,exact.F,p_val_reported,proportionFamPref,formula2use
5,Christina,10.1006/cogp.1995.1010,Infant's Detection of the Sound Patterns of Words in Fluent Speech,Jusczyk Aslin,1995,1,1,peer-reviewed,American English,native,Jusczyk,standard,217,230,245,0.5416666667,24,8,4,1,3,crying interference failing to look for an average of 3 s to each side exp err,7.5,1,2,{cup dog}{bike feet},0,match,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,63.3333333333333,0.333333333333333,female,IDS,NA,26.53,same,IDS,NA,not.manipulated,19.72,16,yes,30,no,HPP,exploratory,,8.29,2.09,7.04,2.63,,2.42,,0.036,0.7916666667,means&SD
5,Christina,10.1006/cogp.1995.1010,Infant's Detection of the Sound Patterns of Words in Fluent Speech,Jusczyk Aslin,1995,2,2,peer-reviewed,American English,native,Jusczyk,standard,160,175,191,0.4166666667,24,10,6,2,3,crying interference failing to look for an average of 3 s to each side exp err,6,1,1,{cup dog}{bike feet},0,match,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,63.3333333333,0.333333333333333,female,IDS,NA,26.53,same,IDS,NA,not.manipulated,19.72,16,yes,30,no,HPP,exploratory,,8.45,3.54,7.97,3.03,,1.13,,0.269,0.5416666667,means&SD
5,Christina,10.1006/cogp.1995.1010,Infant's Detection of the Sound Patterns of Words in Fluent Speech,Jusczyk Aslin,1995,3,3,peer-reviewed,American English,native,Jusczyk,standard,210,225,242,0.5416666667,24,10,5,3,3,crying interference failing to look for an average of 3 s to each side exp err,7.5,0,0,{tup zeet} {gike bawg},0,mispronounciation,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,63.3333333333,0.333333333333333,female,IDS,NA,26.53,same,IDS,NA,not.manipulated,19.72,16,yes,30,no,HPP,exploratory,,6.93,2.48,6.51,2.61,,1.04,,0.309,0.4583333333,means&SD
5,Christina,10.1006/cogp.1995.1010,Infant's Detection of the Sound Patterns of Words in Fluent Speech,Jusczyk Aslin,1995,4,4,peer-reviewed,American English,native,Jusczyk,standard,221,236,249,0.4166666667,24,4,2,1,3,crying failing to look for an average of 3 s to each side exp err,7.5,0,0,{cup dog}{bike feet},0,match,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,63.3333333333,0.333333333333333,female,IDS,NA,19.72,same,IDS,NA,not.manipulated,26.53,12,no,45,no,HPP,exploratory,,10.43,3.87,8.32,3.7,,3.48,,0.002,0.75,means&SD
7,Christina,10.3758/BF03207548,The cocktail party effect in infants,Newman Jusczyk,1996,1,1,peer-reviewed,American English,native,Jusczyk,standard,211,233,244,0.4166666667,24,7,3,4,3,crying not listening at least 3s to each passage,7.5,0,0,{cup dog}{bike feet},0,match,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,63.3333333333,0.333333333333333,"female
",IDS,NA,26.53,same,IDS,NA,not.manipulated,19.72,16,yes,30,no,HPP,exploratory,,7.71,2.11,6.21,1.93,0.8,5.27,,0,0.875,means&SD
7,Christina,10.3758/BF03207548,The cocktail party effect in infants,Newman Jusczyk,1996,2,2,peer-reviewed,American English,native,Jusczyk,standard,213,219,246,0.2916666667,24,13,5,3,3,crying restlessness failing to meet criterion equipment error experimenter error,7.5,0,0,{cup dog}{bike feet},0,match,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,63.3333333333,0.333333333333333,"female
",IDS,NA,26.53,same,IDS,NA,not.manipulated,19.72,16,yes,30,no,HPP,exploratory,,8.01,2.29,6.9,2.27,0.7,3.092,,0.0051,0.75,means&SD
7,Christina,10.3758/BF03207548,The cocktail party effect in infants,Newman Jusczyk,1996,3,3,peer-reviewed,American English,native,Jusczyk,standard,222,232,249,0.3333333333,24,11,3,7,3,crying failure to meet criterion equipment failure,7.5,0,0,{cup dog}{bike feet},0,match,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,63.3333333333,0.333333333333333,"female
",IDS,NA,26.53,same,IDS,NA,not.manipulated,19.72,16,yes,30,no,HPP,exploratory,,6.74,1.98,6.65,1.62,0.5,0.23,,0.06,0.4166666667,means&SD
7,Christina,10.3758/BF03207548,The cocktail party effect in infants,Newman Jusczyk,1996,4,4,peer-reviewed,American English,native,Jusczyk,standard,215,230,249,0.5416666667,24,6,2,2,3,crying failing to meet criterionexperimenter error falling asleep,7.5,0,0,{cup dog}{bike feet},0,match,1,His bike had big black wheels. The girl rode her big bike. Her bike could go very fast. The bell on the bike was really loud. The boy had a new red bike. Your bike always stays in the garage. She put on her hat to play in the snow. The hat was soft and warm. Her brother had knitted the hat. The hat was blue and white. She liked how the hat covered her ears. Her friends also liked her hat. The tree was a hundred years old. The tree grew in the man's back yard. He liked to look outside at the tree. Hanging from the tree was a swing. The man's grandchild played in the tree. The leaves on the tree were yellow. The juicy green pear came from the basket. The pear is her favorite fruit. She wanted to eat the biggest pear. The pear in the basket looked very good. Next to the pear was an apple. She ate the whole pear.,63.3333333333,0.333333333333333,"female
",IDS,NA,19.72,same,IDS,NA,not.manipulated,26.53,12,no,45,no,HPP,nonsignificant,,11.34,4.56,9.85,3.77,0.72,2.28,,0.0322,0.5833333333,means&SD
141,Christina,http://pubman.mpdl.mpg.de/pubman/faces/viewItemFullPage.jsp?itemId=escidoc:77031,Using the head-turning technique to explore cross-linguistic performance differences,Kuijpers Coolen Houston Cutler,1998,1,1,chapter,Dutch,native,NA,standard,218.94,226.94,239.94,0.5,24,19,12,6,3,crying sleeping criterion not interested at all (included in criterion(,7.5,0,0,{bokser karper}{pendel kusten},0,match,2,De bokser moet wel een erg sterke man zijn. Hij is de beste bokser van de hele wereld. E!ke dag gaat hij trainen met een andere bokser. Die bokser is echter veel gespierder dan hij. Soms moet hij vechten tegen een nieuwe bokser. Dat is geen oude bokser maar een jonge. Die pendel ligt op het bureau van mijn oom. Hij is dan ook erg trots op de beste pendel. Volgens hem is het al een heel oude pendel. Hij vindt deze nieuwe pendel iets minder apart. De pendel heeft hij in een dure zaak gekocht. Ik heb de andere pendel ook wel eens gebruikt. De karper zwemt in de vijver bij de school. De jongen wil de nieuwe karper gaan vangen. Dan ziet de meester nog een andere karper. Hij moet nu de beste karper met rust laten. Die karper zal nog een hele tijd blijven leven. Nu gaan ze op de foto met de oude karper. De kusten zijn hier bebouwd met hoge hotels. Aan de andere kusten zijn erg veel toeristen. Met de boot varen zij langs de nieuwe kusten. De visser kent alle oude kusten van dit land. Die kusten zijn nog niet door de gasten ontdekt. Morgen ga ik vissen bij de beste kusten.,NA,0.333333333333333,female,IDS,NA,21.5,female,IDS,NA,not.manipulated,20,16,yes,30,no,HPP,significant,tendency towards novelty pref for three out of four types of passages!,6.84,2.22,6.72,1.93,,0.37,,0.716,0.4583333333,means&SD
141,Christina,http://pubman.mpdl.mpg.de/pubman/faces/viewItemFullPage.jsp?itemId=escidoc:77031,Using the head-turning technique to explore cross-linguistic performance differences,Kuijpers Coolen Houston Cutler,1998,2,2,chapter,Dutch,nonnative,NA,standard,216.94,228.94,238.94,0.5416666667,24,13,4,6,3,crying not meeting criterion not interested (four added to crierion) restless sleeping equipment failure,7.5,0,0,{doctor candle}{kingdom hamlet},0,match,2,Your kingdom is in a faraway place. The prince used to sail to that kingdom when he came home from school. One day he saw a ghost in this old kingdom. The kingdom started to worry him. So he went to another kingdom. Now in the big kingdom he is happy. Your hamlet lies just over the hill. Far away from here near the sea is an old hamlet. People from the hamlet like to fish. Another hamlet is in the country. People from that hamlet really like to farm. They grow so much that theirs is a very big hamlet. The doctor saw you the other day. Heâ€™s much younger than the old doctor. I think your doctor is very nice. He showed another doctor your pretty picture. That doctor thought you grew a lot. Maybe someday youâ€™ll be a big doctor. The candle in the kitchen was almost melted. So Annie bought another candle at the stationery store. She came home and put away the old candle. Fran gave that candle to you later. Then she made a place for the new big candle. Your candle is very pretty and smells nice too.,58.3333333333,0.333333333333333,female,IDS,NA,21.78,female,CDS,NA,not.manipulated,20.55,16,yes,30,no,HPP,significant,,7.58,2.93,8.01,3.34,,1.03,,0.314,0.4583333333,means&SD
